"cons_12m","cons_gas_12m","cons_last_month","no_consumption","churn","days_active","days_since_last_modification","forecast_cons_12m","forecast_cons_year","forecast_discount_energy","has_gas","margin_net_pow_ele","nb_prod_act","net_margin","pow_max","channel_sales"
22034,0,3084,0,0,2224,1863,729.06,425,0,0,43.08,1,81.42,17.25,"5"
4060,0,0,1,0,2511,732,597.77,0,0,0,24.42,1,61.58,13.2,"1"
7440,0,1062,0,0,1165,68,1311.16,1062,30,0,38.58,2,81.61,13.856,"8"
4199490,728810,456462,0,0,2192,1833,11776.27,17393,0,1,2.8,2,897.08,33,"6"
11272,0,0,1,0,2192,1833,1671.41,0,0,0,29.76,1,157.99,13.2,"3"
104657,0,6760,0,0,1461,1096,10378.44,6760,0,0,4.41,1,700.71,70,"5"
267414,0,19394,0,0,1095,142,3077.34,1760,0,0,30,1,341.58,20,"5"
16072,0,5501,0,0,1095,731,2363.54,5501,0,0,29.76,1,184.06,13.2,"3"
72346,57630,7654,0,0,4383,4029,3406.39,3585,0,1,44.92,2,385.39,49,"1"
528,0,150,0,1,1461,1096,142.05,150,0,0,197.28,1,65.99,13.15,"5"
12128,0,0,1,1,2479,286,1769.73,0,0,0,22.95,1,127.55,13.856,"1"
7805,0,0,1,0,2158,279,994.47,0,30,0,25.44,2,57.7,10.392,"1"
12500,0,1461,0,0,2557,2195,1839.43,1461,0,0,19.28,1,168.53,13.2,"1"
6883,0,0,1,0,1461,1098,356.74,0,0,0,24.33,1,36.02,13.164,"5"
0,0,0,1,0,2868,2503,0,0,0,0,0.36,1,0,192,"1"
12386,48504,369,0,0,1461,46,532.44,0,0,1,16.92,2,66.92,10.392,"5"
6542,0,951,0,0,1096,403,667.16,951,0,0,37.68,1,63.1,20.785,"2"
963288,0,54281,0,0,2192,1830,3492.55,0,0,0,15.08,1,319.62,10.35,"6"
5463,0,0,1,0,2557,2192,820.36,0,0,0,14.68,1,79.25,10.39,"1"
6931,0,598,0,0,2557,40,343.41,237,0,0,24.62,1,28.03,12.5,"1"
5731,0,540,0,0,1432,700,927.33,540,24,0,19.2,1,106.08,10.392,"3"
10026,19143,817,0,0,2557,2193,994.53,817,0,1,21.56,2,111.1,17.25,"1"
51661,0,4311,0,0,1461,616,5063.16,4311,0,0,8.28,1,465.3,17.32,"3"
9014,0,1173,0,0,1461,1103,804.48,1044,0,0,27.51,1,101.29,15.2,"8"
35797,0,0,1,0,2192,1827,5283.67,0,0,0,24.52,1,486.18,13.2,"1"
